track_name,album,album_release,artist,popularity,genres,playlist,duration_sec
Uma Thurman,American Beauty/American Psycho,20-01-2015,Fall Out Boy,69,latin,Today's Hits 2000-Present,211.57300000000004
We Don't Talk Anymore,Nine Track Mind,29-01-2016,Charlie Puth,79,latin,Today's Hits 2000-Present,217.7069999999
Let Her Go,All the Little Lights,29-06-2012,Passenger,35,latin,Today's Hits 2000-Present,252.733
On Top Of The World,Night Visions (Deluxe),04-09-2012,Imagine Dragons,65,latin,Today's Hits 2000-Present,189.84
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),23-09-2016,Justin Timberlake,74,latin,Today's Hits 2000-Present,237.547
Can't Feel My Face,Beauty Behind The Madness,28-08-2015,The Weeknd,80,latin,Today's Hits 2000-Present,213.51999999990002
Glad You Came,The Wanted,01-01-2012,The Wanted,47,latin,Today's Hits 2000-Present,198.187
Starboy,Starboy,25-11-2016,The Weeknd,84,latin,Today's Hits 2000-Present,230.4529999999
Wake Me Up,TRUE,01-01-2013,Avicii,84,latin,Today's Hits 2000-Present,247.42699999990006
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),10-03-2015,Wiz Khalifa,18,latin,Today's Hits 2000-Present,229.526
All of Me,Love In The Future (Expanded Edition),30-08-2013,John Legend,85,latin,Today's Hits 2000-Present,269.56000000000006
The Lazy Song,Doo-Wops & Hooligans,05-10-2010,Bruno Mars,70,latin,Today's Hits 2000-Present,190.213
Take Me to Church,Hozier,07-10-2014,Hozier,24,latin,Today's Hits 2000-Present,241.69300000000004
One Call Away,Nine Track Mind,29-01-2016,Charlie Puth,67,latin,Today's Hits 2000-Present,194.45299999990002
Titanium (feat. Sia),Nothing but the Beat 2.0,26-08-2011,David Guetta,66,latin,Today's Hits 2000-Present,245.0399999999
Secrets,Waking Up,01-01-2009,OneRepublic,76,latin,Today's Hits 2000-Present,224.69299999999998
Good Time,The Midsummer Station,01-01-2012,Owl City,72,latin,Today's Hits 2000-Present,205.933
Some Nights,Some Nights,21-02-2012,fun.,70,latin,Today's Hits 2000-Present,277.04
I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),01-01-2009,The Black Eyed Peas,69,latin,Today's Hits 2000-Present,289.13299999990005
Payphone,Overexposed,01-01-2012,Maroon 5,72,latin,Today's Hits 2000-Present,231.387
Pompeii,All This Bad Blood,01-01-2013,Bastille,71,latin,Today's Hits 2000-Present,214.148
The Monster,The Marshall Mathers LP2,05-11-2013,Eminem,74,latin,Today's Hits 2000-Present,250.18899999999996
Without You (feat. Usher),Nothing but the Beat 2.0,26-08-2011,David Guetta,59,latin,Today's Hits 2000-Present,208.13300000000004
When I Was Your Man,Unorthodox Jukebox,07-12-2012,Bruno Mars,82,latin,Today's Hits 2000-Present,213.8269999999
Everybody Talks,Picture Show (Deluxe Edition),01-01-2012,Neon Trees,65,latin,Today's Hits 2000-Present,177.27999999990004
Party Rock Anthem,Sorry For Party Rocking,01-01-2011,LMFAO,67,latin,Today's Hits 2000-Present,262.173
Stronger (What Doesn't Kill You),Stronger (Deluxe Version),24-10-2011,Kelly Clarkson,73,latin,Today's Hits 2000-Present,221.947
Somebody That I Used To Know,Making Mirrors,01-01-2011,Gotye,63,latin,Today's Hits 2000-Present,244.893
One More Night,Overexposed (Deluxe),01-01-2012,Maroon 5,67,latin,Today's Hits 2000-Present,219.467
Good Life,Waking Up,01-01-2009,OneRepublic,70,latin,Today's Hits 2000-Present,253.30700000000004
We Found Love,Talk That Talk,18-11-2011,Rihanna,4,latin,Today's Hits 2000-Present,215.227
Daylight,Overexposed (Deluxe),01-01-2012,Maroon 5,58,latin,Today's Hits 2000-Present,225.3069999999
Ho Hey,The Lumineers,03-04-2012,The Lumineers,70,latin,Today's Hits 2000-Present,163.13299999999998
Mirrors,The 20/20 Experience,15-03-2013,Justin Timberlake,9,latin,Today's Hits 2000-Present,484.147
Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II,15-11-2011,Gym Class Heroes,60,latin,Today's Hits 2000-Present,210.96
I'm Yours,We Sing. We Dance. We Steal Things.,12-05-2008,Jason Mraz,82,latin,Today's Hits 2000-Present,242.187
Lights - Single Version,Lights,2010,Ellie Goulding,61,latin,Today's Hits 2000-Present,211.8
Just Dance,The Fame,01-01-2008,Lady Gaga,67,latin,Today's Hits 2000-Present,241.93299999990003
Feel So Close - Radio Edit,18 Months,26-10-2012,Calvin Harris,75,latin,Today's Hits 2000-Present,206.41300000000004
Poker Face,The Fame,01-01-2008,Lady Gaga,69,latin,Today's Hits 2000-Present,237.2
So What,Funhouse,24-10-2008,P!nk,11,latin,Today's Hits 2000-Present,215.16
Don't Stop The Music,Good Girl Gone Bad: Reloaded,02-06-2008,Rihanna,76,latin,Today's Hits 2000-Present,267.08
Single Ladies (Put a Ring on It),I AM...SASHA FIERCE,14-11-2008,Beyoncé,69,latin,Today's Hits 2000-Present,193.213
Maps,V (Deluxe),18-05-2015,Maroon 5,60,latin,Today's Hits 2000-Present,189.95999999990002
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,22-06-2017,DJ Khaled,70,latin,Today's Hits 2000-Present,288.877
Thinking out Loud,x (Wembley Edition),2013,Ed Sheeran,67,latin,Today's Hits 2000-Present,281.55999999999995
Stay,Stay,23-02-2017,Zedd,79,latin,Today's Hits 2000-Present,210.09099999999998
Attention,Attention,20-04-2017,Charlie Puth,23,latin,Today's Hits 2000-Present,211.475
Life is a Highway,Me And My Gang,01-01-2006,Rascal Flatts,72,latin,Today's Hits 2000-Present,276.32
Grenade,Doo-Wops & Hooligans,05-10-2010,Bruno Mars,75,latin,Today's Hits 2000-Present,223.25299999990003
We Are Young (feat. Janelle Monáe),Some Nights,21-02-2012,fun.,73,latin,Today's Hits 2000-Present,250.62699999999998
Locked Out of Heaven,Unorthodox Jukebox,07-12-2012,Bruno Mars,78,latin,Today's Hits 2000-Present,233.47800000000004
Animals,V,15-05-2015,Maroon 5,75,latin,Today's Hits 2000-Present,231.01300000000003
Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),23-03-2004,Usher,79,latin,Today's Hits 2000-Present,250.37300000000002
Best Day Of My Life,"Oh, What A Life",01-01-2014,American Authors,76,latin,Today's Hits 2000-Present,194.2399999999
Since U Been Gone,Breakaway,17-01-2004,Kelly Clarkson,72,latin,Today's Hits 2000-Present,188.9599999999
Just the Way You Are,Doo-Wops & Hooligans,05-10-2010,Bruno Mars,77,latin,Today's Hits 2000-Present,220.73300000000003
Me And My Broken Heart,Let The Road,04-05-2015,Rixton,4,latin,Today's Hits 2000-Present,193.73300000000003
Treasure,Unorthodox Jukebox,07-12-2012,Bruno Mars,76,latin,Today's Hits 2000-Present,178.56
You Belong With Me,Fearless (International Version),11-11-2008,Taylor Swift,52,latin,Today's Hits 2000-Present,230.507
Try,The Truth About Love,14-09-2012,P!nk,10,latin,Today's Hits 2000-Present,247.907
Give Me Everything,Planet Pit,17-06-2011,Pitbull,48,latin,Today's Hits 2000-Present,252.30700000000002
Problem,My Everything (Deluxe),25-08-2014,Ariana Grande,74,latin,Today's Hits 2000-Present,193.9199999999
I Knew You Were Trouble,Red,22-10-2012,Taylor Swift,16,latin,Today's Hits 2000-Present,219.72000000000003
Geronimo,Bombs Away,10-03-2015,Sheppard,63,latin,Today's Hits 2000-Present,218.22799999999998
I Love It (feat. Charli XCX),THIS IS... ICONA POP,27-08-2013,Icona Pop,67,latin,Today's Hits 2000-Present,157.153
Someone Like You,21,19-01-2011,Adele,79,latin,Today's Hits 2000-Present,285.2399999999001
Chandelier,1000 Forms Of Fear (Deluxe Version),01-05-2015,Sia,71,latin,Today's Hits 2000-Present,216.12
I Need Your Love (feat. Ellie Goulding),18 Months,26-10-2012,Calvin Harris,69,latin,Today's Hits 2000-Present,234.5069999999
Suit & Tie,The 20/20 Experience,15-03-2013,Justin Timberlake,5,latin,Today's Hits 2000-Present,326.27999999990004
Clarity,Clarity,01-01-2012,Zedd,8,latin,Today's Hits 2000-Present,271.427
Break Free,My Everything (Deluxe),22-08-2014,Ariana Grande,11,latin,Today's Hits 2000-Present,214.84000000000003
Shake It Off,1989,27-10-2014,Taylor Swift,68,latin,Today's Hits 2000-Present,219.1999999999
Breakaway,Breakaway,17-01-2004,Kelly Clarkson,64,latin,Today's Hits 2000-Present,237.0
Cheerleader - Felix Jaehn Remix Radio Edit,Me 4 U,16-10-2015,OMI,67,latin,Today's Hits 2000-Present,180.56
Wildest Dreams,1989,27-10-2014,Taylor Swift,65,latin,Today's Hits 2000-Present,220.44
She Will Be Loved,Songs About Jane,25-06-2002,Maroon 5,22,latin,Today's Hits 2000-Present,257.133
Slow Down,Stars Dance (Bonus Track Version),01-01-2013,Selena Gomez,62,latin,Today's Hits 2000-Present,210.293
Confident,Confident (Deluxe Edition),01-01-2015,Demi Lovato,74,latin,Today's Hits 2000-Present,205.746
On My Mind,Delirium (Deluxe),13-11-2015,Ellie Goulding,60,latin,Today's Hits 2000-Present,213.445
Dangerous Woman,Dangerous Woman,20-05-2016,Ariana Grande,77,latin,Today's Hits 2000-Present,235.947
Ex's & Oh's,Love Stuff,13-02-2015,Elle King,73,latin,Today's Hits 2000-Present,202.173
"Honey, I'm Good",Magazines or Novels,09-10-2015,Andy Grammer,54,latin,Today's Hits 2000-Present,199.25299999990003
Pem Pem,Pem Pem,02-02-2018,Elettra Lamborghini,2,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,174.697
Escápate Conmigo,Escápate Conmigo,31-03-2017,Wisin,11,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,232.787
Bonita - Remix,Bonita (Remix),22-12-2017,J Balvin,1,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,322.907
Rapido y Lento (feat. Didy) - Smoothies & Vaizar Remix,Rapido y Lento (feat. Didy) [Smoothies & Vaizar Remix],29-06-2018,Max Brigante,23,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,165.33300000000003
Mala,Mala,21-09-2018,Elettra Lamborghini,45,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,176.14399999990002
X - Spanglish Version,X (Spanglish Version),27-04-2018,Nicky Jam,50,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,172.1279999999
Ponle,Ponle,06-09-2018,Rvssian,73,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,164.7649999999
Quiero Mas,Aura,24-08-2018,Ozuna,64,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,244.29300000000003
Te Boté - Remix,Te Boté (Remix),13-04-2018,Nio Garcia,80,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,417.92
Reggaeton,Reggaeton,17-11-2018,J Balvin,77,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,158.7999999999
Si No Te Quiere,Si No Te Quiere,19-07-2016,Ozuna,2,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,225.2019999999
In My Mind Part 3 (feat. Georgi Kay),In My Mind Part 3 (feat. Georgi Kay),27-09-2018,Flo Rida,53,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,193.359
Ya No Tiene Novio - Remix,Ya No Tiene Novio (Remix),23-11-2018,Sebastian Yatra,58,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,212.053
Me Dijeron,Aura,24-08-2018,Ozuna,66,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,170.13299999999998
Peligrosa,Vibras,25-05-2018,J Balvin,66,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,202.347
MALA,DUMMY BOY,27-11-2018,6ix9ine,14,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,206.55
Mocca - Remix,Mocca (Remix),05-10-2018,Lalo Ebratt,67,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,202.87599999999998
Win,SECURE,17-08-2018,Stefflon Don,32,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,203.08
Machika - Dillon Francis Remix,Machika (Dillon Francis Remix),30-03-2018,J Balvin,40,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,218.97300000000004
Shot & Wine,Shot & Wine,17-01-2019,Sean Paul,2,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,208.35299999999998
Contra La Pared,Contra La Pared,14-03-2019,Sean Paul,79,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,224.68099999989997
Vacia Sin Mi,Vacia Sin Mi,14-03-2019,Ozuna,65,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,271.105
Dio benedica il reggaeton (feat. Baby K),Dio benedica il reggaeton (feat. Baby K),15-03-2019,Fred De Palma,45,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,167.68400000000003
Sincera,Sincera,06-11-2018,Fred De Palma,32,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,189.894
Adictiva,Adictiva,09-11-2018,Daddy Yankee,77,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,207.85299999999998
Soltera,Soltera,21-02-2019,Lunay,70,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,213.9129999999
Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana,Qué Gano Olvidándote (feat. Zion & Lennox) [Versión Urbana],11-11-2016,Reik,5,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,246.85300000000004
HP,HP,01-03-2019,Maluma,23,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,184.4359999999
Hipnosis,Hipnosis,26-10-2018,Zion & Lennox,56,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,227.11999999990002
D'estate non vale (feat. Ana Mena),D'estate non vale (feat. Ana Mena),15-06-2018,Fred De Palma,44,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,157.1759999999
CIKA CIKA (feat. Xhensila) - Remix,CIKA CIKA (feat. Xhensila) [Remix],22-02-2019,Ardian Bujupi,52,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,199.29300000000003
Cheap Thrills Remix,Cheap Thrills Remix,17-06-2016,Sia,56,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,212.15999999990004
Baila Baila Baila - Remix,"Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",25-04-2019,Ozuna,80,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,235.284
Quiere Beber,Real Hasta la Muerte,17-07-2018,Anuel AA,74,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,187.125
Demasiado Loca,Demasiado Loca,25-01-2019,Sak Noel,49,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,186.067
Con Calma - Remix,Con Calma (Remix),19-04-2019,Daddy Yankee,74,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,181.28
Can't Take It From Me,Can't Take It From Me,10-05-2019,Major Lazer,55,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,175.86700000000002
La Cartera,Gangalee,26-04-2019,Farruko,76,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,289.9069999999
Tócame (feat. Pitbull),Tócame,05-06-2019,Elettra Lamborghini,6,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,161.013
Apaga la Luz,The Lost Tape,01-10-2016,Cheka,13,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,231.8249999999
Instagram,Instagram,05-07-2019,Dimitri Vegas & Like Mike,81,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,184.558
Mamacita (feat. Farruko),Mamacita (feat. Farruko),05-07-2019,Jason Derulo,68,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,204.06399999999996
Hola Señorita - Robin Schulz Remix,Hola Señorita (Robin Schulz Remix),05-07-2019,Maître Gims,61,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,175.293
Haute (feat. J Balvin & Chris Brown),Haute (feat. J Balvin & Chris Brown),05-06-2019,Tyga,70,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,160.87699999999998
CUIDAO POR AHÍ,OASIS,28-06-2019,J Balvin,72,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,198.3199999999
Pookie (feat. Lil Pump) - Remix,Pookie (feat. Lil Pump) [Remix],02-08-2019,Aya Nakamura,66,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,169.68699999999998
Pookie (feat. Capo Plaza) - Remix,Pookie (feat. Capo Plaza) [Remix],30-08-2019,Aya Nakamura,76,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,188.401
Indeciso,Indeciso,23-08-2019,Reik,88,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,217.2529999999
Lurkin' (feat. Tory Lanez),Indigo,28-06-2019,Chris Brown,60,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,169.41299999999998
My Type (feat. Becky G & Melii) - Latin Remix,My Type (feat. Becky G & Melii) [Latin Remix],20-09-2019,Saweetie,56,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,176.8549999999
Hasta Que Salga el Sol,Hasta Que Salga el Sol,07-11-2019,Ozuna,68,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,188.59999999990004
Se iluminaba,Se iluminaba,30-08-2019,Fred De Palma,44,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,174.291
Que Calor (feat. J Balvin & El Alfa),Que Calor (feat. J Balvin & El Alfa),11-09-2019,Major Lazer,84,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,169.99799999989995
Evapora,Evapora,08-11-2019,IZA,71,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,127.07599999999998
Boomshakalaka - Dimitri Vegas & Like Mike vs. Afro Bros Radio Mix,Boomshakalaka (Dimitri Vegas & Like Mike vs. Afro Bros Radio Mix),29-11-2019,Dimitri Vegas & Like Mike,71,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,211.52
En Cero - Remix,En Cero (Remix),06-12-2019,Yandel,68,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,296.22699999990004
Escándalo (feat. Omar Montes),Escándalo (feat. Omar Montes),31-05-2019,Rasel,43,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,158.25
"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX","Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) [REMIX]",27-12-2019,DJ Snake,80,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,341.875
Own It (feat. Ed Sheeran & Burna Boy),Own It (feat. Ed Sheeran & Burna Boy),22-11-2019,Stormzy,76,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,216.7069999999
Chica Bombastic,Chica Bombastic,18-10-2019,Wisin & Yandel,77,latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,193.1469999999
Wat Is Je Naam,Wat Is Je Naam,16-01-2020,Yxng Le,59,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,157.935
Ella,Ella,10-01-2020,Sky Rompiendo,57,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,122.09
One Shot,One Shot,17-01-2020,Hansie,44,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,162.731
HVJ,HVJ,14-11-2019,Hansie,45,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,172.68400000000003
Uhhh,Uhhh,17-01-2020,DJ DYLVN,35,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,160.303
Mami So Bad,Mami So Bad,12-12-2019,Frenna,69,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,181.352
We Zetten Herres,We Zetten Herres,13-12-2019,Bryan Mg,61,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,149.388
Gutter (feat. Bryan Mg & CSPRODUCER),Blessings & Life Lessons,22-11-2019,Architrackz,42,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,193.655
Favela,BABA,09-05-2019,Murda,53,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,170.79700000000005
My Bébé,My Bébé,31-10-2019,Bryan Mg,70,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,154.0779999999
Naughty,Naughty,11-12-2019,SXTEEN,51,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,160.0
Shaku In Town (feat. ValsBezig),Custom Made,07-11-2019,Jayboogz,51,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,205.976
Beauty By Nature (feat. Famke Louise),Blessings & Life Lessons,22-11-2019,Architrackz,53,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,196.965
Habri Pia,"Habri Pia / One, Two, Three",24-10-2019,Broederliefde,57,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,238.0449999999
Body = Fit (feat. Jonna Fraser & Tabitha),Body = Fit (feat. Jonna Fraser & Tabitha),24-10-2019,DJ DYLVN,54,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,175.11700000000002
Moni Mi Suku,Broeders (Extended),12-12-2019,Broederliefde,51,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,194.42899999989996
Juppig,Juppig,03-01-2020,ChildsPlay,60,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,155.613
AFTER,AFTER,18-10-2019,Johnny 500,50,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,145.446
Ghetto Youth,Ghetto Youth,29-08-2019,Frenna,62,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,188.0639999999
Ik Mis Je,Ik Mis Je,11-10-2019,Architrackz,57,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,191.187
Kom Tot Me,Kom Tot Me,16-10-2019,Priceless,56,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,156.394
Fuik,Visionair,27-09-2019,Henkie T,61,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,126.59999999999998
Shelbyana,Shelbyana / Tan2 Ducks,03-10-2019,Broederliefde,52,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,233.804
Only You,Only You,19-09-2019,Frenna,64,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,156.0
Gitaren Body,Gitaren Body,06-09-2019,Architrackz,57,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,195.8679999999
Snelle Jongen Dunne Jasje,Snelle Jongen Dunne Jasje,01-08-2019,Henkie T,60,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,149.03199999999998
Libie,Visionair,27-09-2019,Henkie T,51,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,123.71100000000004
Suave,"Hsmn, Pt. 1- Single",20-09-2019,Tabitha,49,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,177.37699999999998
Kaki,Jongens Uit De Havenstad,22-08-2019,Equalz,53,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,174.35299999999998
Wine On Top,"2 Borden, 1 Tafel",29-08-2019,Chivv,55,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,207.61399999990002
Work It,"Hsmn, Pt. 1- Single",20-09-2019,Tabitha,53,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,168.14700000000002
We Bemoeien Niet,Jongens Uit De Havenstad,22-08-2019,Equalz,44,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,161.1769999999
GIVENCHY,GIVENCHY,06-09-2019,Chip Charlez,55,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,150.0
Bolide,Jongens Uit De Havenstad,22-08-2019,Equalz,42,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,113.78
Je Kent ’t Wel,Je Kent ’t Wel,22-08-2019,Chivv,57,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,218.33599999999998
COUNT YAH BLESSINGS,"2 Borden, 1 Tafel",29-08-2019,Chivv,39,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,223.08900000000003
VERDIEND,"2 Borden, 1 Tafel",29-08-2019,Chivv,55,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,144.116
DomDoen,DomDoen,28-06-2019,Henkie T,67,latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,156.082
